transaction_id,store_id,store_type,date,customers_count,revenue,avg_bill_value
1,21,Food,2025-11-11,3,2465,821
2,38,Clothing,2025-11-18,4,2323,580
3,26,Clothing,2026-01-14,5,2437,487
4,13,Food,2025-10-16,1,754,754
5,32,Furniture,2025-08-04,32,21789,680
6,36,Food,2025-05-26,1,100,100
7,6,Salon,2025-06-29,4,1167,291
8,9,Salon,2026-01-31,5,2113,422
9,30,Clothing,2025-12-16,3,2697,899
10,47,Clothing,2025-05-12,9,4206,467
11,34,Furniture,2025-06-19,21,12991,618
12,7,Clothing,2025-10-06,2,1593,796
13,6,Salon,2026-01-18,13,3321,255
14,17,Food,2025-12-21,2,1651,825
15,18,Food,2025-07-18,1,885,885
16,28,Clothing,2026-01-27,20,4267,213
17,43,Clothing,2025-07-24,5,2656,531
18,18,Food,2025-10-03,1,1303,1303
19,19,Clothing,2025-05-27,4,2679,669
20,25,Electronics,2026-03-04,17,10861,638
21,9,Salon,2026-04-06,3,2131,710
22,37,Salon,2025-10-21,7,2736,390
23,24,Electronics,2026-02-14,10,6392,639
24,45,Food,2026-03-31,5,1539,307
25,12,Electronics,2025-07-24,34,11275,331
26,37,Salon,2026-03-27,9,2763,307
27,27,Salon,2025-09-27,13,3181,244
28,26,Clothing,2025-12-09,8,2486,310
29,18,Food,2026-01-22,4,1953,488
30,23,Salon,2025-05-24,5,2928,585
31,47,Clothing,2026-03-15,4,3179,794
32,28,Clothing,2026-02-21,10,6000,600
33,48,Furniture,2025-07-19,78,29608,379
34,37,Salon,2025-09-24,3,1863,621
35,28,Clothing,2025-07-24,16,3623,226
36,12,Electronics,2026-03-31,6,5321,886
37,3,Food,2025-08-13,11,2432,221
38,38,Clothing,2026-03-09,3,2591,863
39,25,Electronics,2026-01-18,72,14540,201
40,13,Food,2025-04-26,6,2654,442
41,14,Salon,2025-08-29,3,2346,782
42,1,Salon,2026-01-25,4,2665,666
43,11,Furniture,2025-12-15,40,18487,462
44,5,Food,2025-09-08,2,1859,929
45,11,Furniture,2025-07-01,68,28205,414
46,45,Food,2025-04-30,4,1206,301
47,9,Salon,2025-12-29,3,2549,849
48,49,Food,2025-06-13,1,992,992
49,39,Salon,2025-05-27,2,1921,960
50,32,Furniture,2025-09-01,18,12875,715
51,26,Clothing,2025-09-23,9,5129,569
52,21,Food,2026-03-28,3,1346,448
53,23,Salon,2026-02-10,3,2387,795
54,36,Food,2025-05-28,2,1056,528
55,41,Cinema,2025-05-19,4,3420,855
56,6,Salon,2026-02-19,9,2611,290
57,32,Furniture,2025-11-22,85,43643,513
58,29,Salon,2025-11-06,3,1214,404
59,49,Food,2025-05-13,1,726,726
60,18,Food,2025-06-05,2,1508,754
61,16,Cinema,2025-10-08,8,2470,308
62,7,Clothing,2025-11-15,15,7581,505
63,43,Clothing,2026-02-15,12,4227,352
64,5,Food,2025-12-19,3,1837,612
65,6,Salon,2026-03-31,3,1751,583
66,31,Clothing,2025-10-19,11,5411,491
67,1,Salon,2025-04-21,1,1223,1223
68,18,Food,2025-05-04,3,2310,770
69,6,Salon,2026-02-25,6,2258,376
70,20,Cinema,2025-06-08,13,3997,307
71,29,Salon,2025-12-06,2,1942,971
72,50,Food,2025-06-24,3,1043,347
73,15,Clothing,2025-05-08,2,1874,937
74,3,Food,2025-07-25,3,1462,487
75,10,Salon,2025-08-07,9,3318,368
76,9,Salon,2025-07-20,7,4677,668
77,21,Food,2025-05-03,5,3152,630
78,39,Salon,2026-04-18,10,3594,359
79,13,Food,2025-09-22,2,1437,718
80,24,Electronics,2026-03-06,32,14377,449
81,44,Salon,2025-12-31,3,1107,369
82,25,Electronics,2025-11-11,33,14059,426
83,13,Food,2025-10-30,3,1699,566
84,29,Salon,2025-07-06,3,1735,578
85,42,Electronics,2026-01-07,11,5134,466
86,16,Cinema,2025-06-13,6,2527,421
87,9,Salon,2026-01-28,3,1809,603
88,21,Food,2025-06-05,5,1508,301
89,26,Clothing,2026-01-25,7,4362,623
90,7,Clothing,2025-06-08,3,2735,911
91,11,Furniture,2025-06-16,58,25877,446
92,46,Clothing,2025-11-14,5,3022,604
93,1,Salon,2026-03-25,9,3009,334
94,34,Furniture,2025-07-02,33,20937,634
95,34,Furniture,2026-03-17,27,13704,507
96,18,Food,2025-08-29,2,988,494
97,17,Food,2025-07-19,5,1600,320
98,9,Salon,2025-11-16,9,4707,523
99,47,Clothing,2026-02-12,4,3412,853
100,10,Salon,2025-12-24,5,1650,330
101,19,Clothing,2025-06-16,4,2547,636
102,35,Food,2025-08-02,1,591,591
103,23,Salon,2025-11-18,3,1843,614
104,40,Cinema,2025-04-20,9,4098,455
105,30,Clothing,2025-07-26,8,3097,387
106,33,Cinema,2026-02-24,4,3227,806
107,21,Food,2025-05-15,1,783,783
108,37,Salon,2026-01-16,3,908,302
109,29,Salon,2025-08-30,2,1918,959
110,31,Clothing,2025-10-04,2,761,380
111,39,Salon,2026-01-20,5,3584,716
112,1,Salon,2025-07-27,4,2054,513
113,31,Clothing,2025-08-06,12,3358,279
114,16,Cinema,2025-06-21,7,2411,344
115,20,Cinema,2026-01-26,15,3277,218
116,48,Furniture,2025-12-14,90,25537,283
117,9,Salon,2025-05-11,4,2246,561
118,26,Clothing,2025-05-07,14,3602,257
119,36,Food,2025-11-18,1,752,752
120,48,Furniture,2025-06-21,116,31198,268
121,5,Food,2026-03-05,5,1601,320
122,12,Electronics,2025-06-14,38,15904,418
123,44,Salon,2026-03-15,5,3259,651
124,44,Salon,2025-09-25,10,2774,277
125,34,Furniture,2025-07-08,49,26843,547
126,2,Food,2026-04-12,7,2005,286
127,24,Electronics,2025-10-07,35,16932,483
128,38,Clothing,2025-05-21,10,5119,511
129,42,Electronics,2025-08-27,3,2421,807
130,14,Salon,2025-05-02,7,2104,300
131,46,Clothing,2026-02-11,8,4258,532
132,22,Food,2026-02-11,2,808,404
133,5,Food,2025-09-05,3,919,306
134,6,Salon,2025-05-04,23,5603,243
135,50,Food,2025-04-24,2,1524,762
136,7,Clothing,2025-09-29,9,4636,515
137,34,Furniture,2025-09-18,86,21560,250
138,1,Salon,2025-05-01,5,1801,360
139,49,Food,2025-12-09,3,2154,718
140,29,Salon,2025-12-23,3,2014,671
141,10,Salon,2025-08-27,4,1232,308
142,49,Food,2025-11-10,2,1824,912
143,22,Food,2025-12-27,3,1731,577
144,25,Electronics,2025-11-16,10,3721,372
145,35,Food,2025-09-20,2,1428,714
146,29,Salon,2025-08-17,2,1895,947
147,36,Food,2026-02-07,7,2541,363
148,42,Electronics,2025-11-08,87,19949,229
149,42,Electronics,2025-04-24,13,10178,782
150,41,Cinema,2025-04-21,8,3308,413
